CountryCode,LongLat,TimeZone
GB, +513030-0000731, Europe/London
GD, +1039-06131, America/Port_of_Spain
GE, +4143+04449, Asia/Tbilisi
GF, +0456-05220, America/Cayenne
GG, +513030-0000731, Europe/London
GH, +0533-00013, Africa/Accra
GI, +3608-00521, Europe/Gibraltar
GL, +6411-05144, America/Godthab
GL, +7029-02158, America/Scoresbysund
GL, +7634-06847, America/Thule
GL, +7646-01840, America/Danmarkshavn
GM, +0519-00402, Africa/Abidjan
GN, +0519-00402, Africa/Abidjan
GP, +1039-06131, America/Port_of_Spain
GQ, +0627+00324, Africa/Lagos
GR, +3758+02343, Europe/Athens
GS, -5416-03632, Atlantic/South_Georgia
GT, +1438-09031, America/Guatemala
GU, +1328+14445, Pacific/Guam
GW, +1151-01535, Africa/Bissau
GY, +0648-05810, America/Guyana
HK, +2217+11409, Asia/Hong_Kong
HN, +1406-08713, America/Tegucigalpa
HR, +4450+02030, Europe/Belgrade
HT, +1832-07220, America/Port-au-Prince
HU, +4730+01905, Europe/Budapest
ID, -0002+10920, Asia/Pontianak
ID, -0232+14042, Asia/Jayapura
ID, -0507+11924, Asia/Makassar
ID, -0610+10648, Asia/Jakarta
IE, +5320-00615, Europe/Dublin
IL, +314650+0351326, Asia/Jerusalem
IM, +513030-0000731, Europe/London
IN, +2232+08822, Asia/Kolkata
IO, -0720+07225, Indian/Chagos
IQ, +3321+04425, Asia/Baghdad
IR, +3540+05126, Asia/Tehran
IS, +6409-02151, Atlantic/Reykjavik
IT, +4154+01229, Europe/Rome
JE, +513030-0000731, Europe/London
JM, +175805-0764736, America/Jamaica
JO, +3157+03556, Asia/Amman
JP, +353916+1394441, Asia/Tokyo
KE, -0117+03649, Africa/Nairobi
KG, +4254+07436, Asia/Bishkek
KH, +1345+10031, Asia/Bangkok
KI, +0125+17300, Pacific/Tarawa
KI, +0152-15720, Pacific/Kiritimati
KI, -0308-17105, Pacific/Enderbury
KM, -0117+03649, Africa/Nairobi
KN, +1039-06131, America/Port_of_Spain
KP, +3901+12545, Asia/Pyongyang
KR, +3733+12658, Asia/Seoul
KW, +2438+04643, Asia/Riyadh
KY, +0858-07932, America/Panama
KZ, +4315+07657, Asia/Almaty
KZ, +4431+05016, Asia/Aqtau
KZ, +4448+06528, Asia/Qyzylorda
KZ, +4707+05156, Asia/Atyrau
KZ, +5017+05710, Asia/Aqtobe
KZ, +5113+05121, Asia/Oral
LA, +1345+10031, Asia/Bangkok
LB, +3353+03530, Asia/Beirut
LC, +1039-06131, America/Port_of_Spain
LI, +4723+00832, Europe/Zurich
LK, +0656+07951, Asia/Colombo
LR, +0618-01047, Africa/Monrovia
LS, -2615+02800, Africa/Johannesburg
LT, +5441+02519, Europe/Vilnius
LU, +4936+00609, Europe/Luxembourg
LV, +5657+02406, Europe/Riga
LY, +3254+01311, Africa/Tripoli
MA, +3339-00735, Africa/Casablanca
MC, +4342+00723, Europe/Monaco
MD, +4700+02850, Europe/Chisinau
ME, +4450+02030, Europe/Belgrade
MF, +1039-06131, America/Port_of_Spain
MG, -0117+03649, Africa/Nairobi
MH, +0709+17112, Pacific/Majuro
MH, +0905+16720, Pacific/Kwajalein
MK, +4450+02030, Europe/Belgrade
ML, +0519-00402, Africa/Abidjan
MM, +1647+09610, Asia/Yangon
MN, +4755+10653, Asia/Ulaanbaatar
MN, +4801+09139, Asia/Hovd
MN, +4804+11430, Asia/Choibalsan
MO, +2214+11335, Asia/Macau
MP, +1328+14445, Pacific/Guam
MQ, +1436-06105, America/Martinique
MR, +0519-00402, Africa/Abidjan
MS, +1039-06131, America/Port_of_Spain
MT, +3554+01431, Europe/Malta
MU, -2010+05730, Indian/Mauritius
MV, +0410+07330, Indian/Maldives
MW, -2558+03235, Africa/Maputo
MX, +1924-09909, America/Mexico_City
MX, +2048-10515, America/Bahia_Banderas
MX, +2058-08937, America/Merida
MX, +2105-08646, America/Cancun
MX, +2313-10625, America/Mazatlan
MX, +2540-10019, America/Monterrey
MX, +2550-09730, America/Matamoros
MX, +2838-10605, America/Chihuahua
MX, +2904-11058, America/Hermosillo
MX, +2934-10425, America/Ojinaga
MX, +3232-11701, America/Tijuana
MY, +0133+11020, Asia/Kuching
MY, +0310+10142, Asia/Kuala_Lumpur
MZ, -2558+03235, Africa/Maputo
NA, -2234+01706, Africa/Windhoek
NC, -2216+16627, Pacific/Noumea
NE, +0627+00324, Africa/Lagos
NF, -2903+16758, Pacific/Norfolk
NG, +0627+00324, Africa/Lagos
NI, +1209-08617, America/Managua
NL, +5222+00454, Europe/Amsterdam
NO, +5955+01045, Europe/Oslo
NP, +2743+08519, Asia/Kathmandu
NR, -0031+16655, Pacific/Nauru
NU, -1901-16955, Pacific/Niue
NZ, -3652+17446, Pacific/Auckland
NZ, -4357-17633, Pacific/Chatham
OM, +2518+05518, Asia/Dubai
PA, +0858-07932, America/Panama
PE, -1203-07703, America/Lima
PF, -0900-13930, Pacific/Marquesas
PF, -1732-14934, Pacific/Tahiti
PF, -2308-13457, Pacific/Gambier
PG, -0613+15534, Pacific/Bougainville
PG, -0930+14710, Pacific/Port_Moresby
PH, +1435+12100, Asia/Manila
PK, +2452+06703, Asia/Karachi
PL, +5215+02100, Europe/Warsaw
PM, +4703-05620, America/Miquelon
PN, -2504-13005, Pacific/Pitcairn
PR, +182806-0660622, America/Puerto_Rico
PS, +3130+03428, Asia/Gaza
PS, +313200+0350542, Asia/Hebron
PT, +3238-01654, Atlantic/Madeira
PT, +3744-02540, Atlantic/Azores
PT, +3843-00908, Europe/Lisbon
PW, +0720+13429, Pacific/Palau
PY, -2516-05740, America/Asuncion
QA, +2517+05132, Asia/Qatar
RE, -2052+05528, Indian/Reunion
RO, +4426+02606, Europe/Bucharest
RS, +4450+02030, Europe/Belgrade
RU, +4310+13156, Asia/Vladivostok
RU, +4457+03406, Europe/Simferopol
RU, +4621+04803, Europe/Astrakhan
RU, +4658+14242, Asia/Sakhalin
RU, +4844+04425, Europe/Volgograd
RU, +5134+04602, Europe/Saratov
RU, +5203+11328, Asia/Chita
RU, +5216+10420, Asia/Irkutsk
RU, +5301+15839, Asia/Kamchatka
RU, +5312+05009, Europe/Samara
RU, +5322+08345, Asia/Barnaul
RU, +5345+08707, Asia/Novokuznetsk
RU, +5420+04824, Europe/Ulyanovsk
RU, +5443+02030, Europe/Kaliningrad
RU, +5500+07324, Asia/Omsk
RU, +5502+08255, Asia/Novosibirsk
RU, +554521+0373704, Europe/Moscow
RU, +5601+09250, Asia/Krasnoyarsk
RU, +5630+08458, Asia/Tomsk
RU, +5651+06036, Asia/Yekaterinburg
RU, +5836+04939, Europe/Kirov
RU, +5934+15048, Asia/Magadan
RU, +6200+12940, Asia/Yakutsk
RU, +623923+1353314, Asia/Khandyga
RU, +643337+1431336, Asia/Ust-Nera
RU, +6445+17729, Asia/Anadyr
RU, +6728+15343, Asia/Srednekolymsk
RW, -2558+03235, Africa/Maputo
SA, +2438+04643, Asia/Riyadh
SB, -0932+16012, Pacific/Guadalcanal
SC, -0440+05528, Indian/Mahe
SD, +1536+03232, Africa/Khartoum
SE, +5920+01803, Europe/Stockholm
SG, +0117+10351, Asia/Singapore
SH, +0519-00402, Africa/Abidjan
SI, +4450+02030, Europe/Belgrade
SJ, +5955+01045, Europe/Oslo
SK, +5005+01426, Europe/Prague
SL, +0519-00402, Africa/Abidjan
SM, +4154+01229, Europe/Rome
SN, +0519-00402, Africa/Abidjan
SO, -0117+03649, Africa/Nairobi
SR, +0550-05510, America/Paramaribo
SS, +1536+03232, Africa/Khartoum
ST, +0519-00402, Africa/Abidjan
SV, +1342-08912, America/El_Salvador
SX, +1211-06900, America/Curacao
SY, +3330+03618, Asia/Damascus
SZ, -2615+02800, Africa/Johannesburg
TC, +2128-07108, America/Grand_Turk
TD, +1207+01503, Africa/Ndjamena
TF, -2052+05528, Indian/Reunion
TF, -492110+0701303, Indian/Kerguelen
TG, +0519-00402, Africa/Abidjan
TH, +1345+10031, Asia/Bangkok
TJ, +3835+06848, Asia/Dushanbe
TK, -0922-17114, Pacific/Fakaofo
TL, -0833+12535, Asia/Dili
TM, +3757+05823, Asia/Ashgabat
TN, +3648+01011, Africa/Tunis
TO, -2110-17510, Pacific/Tongatapu
TR, +4101+02858, Europe/Istanbul
TT, +1039-06131, America/Port_of_Spain
TV, -0831+17913, Pacific/Funafuti
TW, +2503+12130, Asia/Taipei
TZ, -0117+03649, Africa/Nairobi
UA, +4750+03510, Europe/Zaporozhye
UA, +4837+02218, Europe/Uzhgorod
UA, +5026+03031, Europe/Kiev
UG, -0117+03649, Africa/Nairobi
UM, +1917+16637, Pacific/Wake
UM, +211825-1575130, Pacific/Honolulu
UM, -1416-17042, Pacific/Pago_Pago
US, +211825-1575130, Pacific/Honolulu
US, +332654-1120424, America/Phoenix
US, +340308-1181434, America/Los_Angeles
US, +364947-0845057, America/Kentucky/Monticello
US, +375711-0864541, America/Indiana/Tell_City
US, +381515-0854534, America/Kentucky/Louisville
US, +382232-0862041, America/Indiana/Marengo
US, +382931-0871643, America/Indiana/Petersburg
US, +384038-0873143, America/Indiana/Vincennes
US, +384452-0850402, America/Indiana/Vevay
US, +394421-1045903, America/Denver
US, +394606-0860929, America/Indiana/Indianapolis
US, +404251-0740023, America/New_York
US, +410305-0863611, America/Indiana/Winamac
US, +411745-0863730, America/Indiana/Knox
US, +415100-0873900, America/Chicago
US, +421953-0830245, America/Detroit
US, +433649-1161209, America/Boise
US, +450628-0873651, America/Menominee
US, +465042-1012439, America/North_Dakota/New_Salem
US, +470659-1011757, America/North_Dakota/Center
US, +471551-1014640, America/North_Dakota/Beulah
US, +515248-1763929, America/Adak
US, +550737-1313435, America/Metlakatla
US, +571035-1351807, America/Sitka
US, +581807-1342511, America/Juneau
US, +593249-1394338, America/Yakutat
US, +611305-1495401, America/Anchorage
US, +643004-1652423, America/Nome
UY, -3453-05611, America/Montevideo
UZ, +3940+06648, Asia/Samarkand
UZ, +4120+06918, Asia/Tashkent
VA, +4154+01229, Europe/Rome
VC, +1039-06131, America/Port_of_Spain
VE, +1030-06656, America/Caracas
VG, +1039-06131, America/Port_of_Spain
VI, +1039-06131, America/Port_of_Spain
VN, +1045+10640, Asia/Ho_Chi_Minh
VN, +1345+10031, Asia/Bangkok
VU, -1740+16825, Pacific/Efate
WF, -1318-17610, Pacific/Wallis
WS, -1350-17144, Pacific/Apia
YE, +2438+04643, Asia/Riyadh
YT, -0117+03649, Africa/Nairobi
ZA, -2615+02800, Africa/Johannesburg
ZM, -2558+03235, Africa/Maputo
ZW, -2558+03235, Africa/Maputo
